ЭТАП 1/2 — обучение: 60 моделей | seeds=20 | conditions=3

--- запуск 1/60: seed=0, condition=INTERLEAVED ---
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.0% 1/60 | seed=0 INTERLEAVED | step 0/20000 | ETA текущего run 0м 00с | started
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.0% 1/60 | seed=0 INTERLEAVED | step 500/20000 | ETA текущего run 1м 54с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.1% 1/60 | seed=0 INTERLEAVED | step 1000/20000 | ETA текущего run 2м 41с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.1% 1/60 | seed=0 INTERLEAVED | step 1500/20000 | ETA текущего run 2м 51с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.2% 1/60 | seed=0 INTERLEAVED | step 2000/20000 | ETA текущего run 2м 56с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.2% 1/60 | seed=0 INTERLEAVED | step 2500/20000 | ETA текущего run 2м 43с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.2% 1/60 | seed=0 INTERLEAVED | step 3000/20000 | ETA текущего run 2м 24с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.3% 1/60 | seed=0 INTERLEAVED | step 3500/20000 | ETA текущего run 2м 09с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.3% 1/60 | seed=0 INTERLEAVED | step 4000/20000 | ETA текущего run 2м 10с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.3% 1/60 | seed=0 INTERLEAVED | step 4000/20000 | ETA текущего run 2м 10с | checkpoint
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.4% 1/60 | seed=0 INTERLEAVED | step 4500/20000 | ETA текущего run 2м 09с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.4% 1/60 | seed=0 INTERLEAVED | step 5000/20000 | ETA текущего run 2м 02с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.5% 1/60 | seed=0 INTERLEAVED | step 5500/20000 | ETA текущего run 1м 52с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.5% 1/60 | seed=0 INTERLEAVED | step 6000/20000 | ETA текущего run 1м 44с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.5% 1/60 | seed=0 INTERLEAVED | step 6500/20000 | ETA текущего run 1м 37с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.6% 1/60 | seed=0 INTERLEAVED | step 7000/20000 | ETA текущего run 1м 31с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.6% 1/60 | seed=0 INTERLEAVED | step 7500/20000 | ETA текущего run 1м 25с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.7% 1/60 | seed=0 INTERLEAVED | step 8000/20000 | ETA текущего run 1м 20с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.7% 1/60 | seed=0 INTERLEAVED | step 8500/20000 | ETA текущего run 1м 21с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.8% 1/60 | seed=0 INTERLEAVED | step 9000/20000 | ETA текущего run 1м 19с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.8% 1/60 | seed=0 INTERLEAVED | step 9500/20000 | ETA текущего run 1м 18с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.8% 1/60 | seed=0 INTERLEAVED | step 10000/20000 | ETA текущего run 1м 15с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.8% 1/60 | seed=0 INTERLEAVED | step 10000/20000 | ETA текущего run 1м 15с | checkpoint
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.9% 1/60 | seed=0 INTERLEAVED | step 10500/20000 | ETA текущего run 1м 13с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   0.9% 1/60 | seed=0 INTERLEAVED | step 11000/20000 | ETA текущего run 1м 10с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.0% 1/60 | seed=0 INTERLEAVED | step 11500/20000 | ETA текущего run 1м 07с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.0% 1/60 | seed=0 INTERLEAVED | step 12000/20000 | ETA текущего run 1м 04с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.0% 1/60 | seed=0 INTERLEAVED | step 12500/20000 | ETA текущего run 1м 01с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.1% 1/60 | seed=0 INTERLEAVED | step 13000/20000 | ETA текущего run 0м 57с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.1% 1/60 | seed=0 INTERLEAVED | step 13500/20000 | ETA текущего run 0м 54с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.2% 1/60 | seed=0 INTERLEAVED | step 14000/20000 | ETA текущего run 0м 50с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.2% 1/60 | seed=0 INTERLEAVED | step 14500/20000 | ETA текущего run 0м 46с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.2% 1/60 | seed=0 INTERLEAVED | step 15000/20000 | ETA текущего run 0м 43с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.3% 1/60 | seed=0 INTERLEAVED | step 15500/20000 | ETA текущего run 0м 39с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.3% 1/60 | seed=0 INTERLEAVED | step 16000/20000 | ETA текущего run 0м 34с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.4% 1/60 | seed=0 INTERLEAVED | step 16500/20000 | ETA текущего run 0м 30с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.4% 1/60 | seed=0 INTERLEAVED | step 17000/20000 | ETA текущего run 0м 25с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.5% 1/60 | seed=0 INTERLEAVED | step 17500/20000 | ETA текущего run 0м 21с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.5% 1/60 | seed=0 INTERLEAVED | step 18000/20000 | ETA текущего run 0м 16с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.5% 1/60 | seed=0 INTERLEAVED | step 18500/20000 | ETA текущего run 0м 12с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.6% 1/60 | seed=0 INTERLEAVED | step 19000/20000 | ETA текущего run 0м 08с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.6% 1/60 | seed=0 INTERLEAVED | step 19500/20000 | ETA текущего run 0м 04с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.7% 1/60 | seed=0 INTERLEAVED | step 20000/20000 | ETA текущего run 0м 00с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.7% 1/60 | seed=0 INTERLEAVED | step 20000/20000 | ETA текущего run 0м 00с | checkpoint
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.7% 1/60 | seed=0 INTERLEAVED | step 20000/20000 | ETA текущего run 0м 00с | completed

--- запуск 2/60: seed=0, condition=BLOCKED_AB ---
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.7% 2/60 | seed=0 BLOCKED_AB | step 0/20000 | ETA текущего run 0м 00с | started
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.7% 2/60 | seed=0 BLOCKED_AB | step 500/20000 | ETA текущего run 1м 11с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.8% 2/60 | seed=0 BLOCKED_AB | step 1000/20000 | ETA текущего run 1м 26с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.8% 2/60 | seed=0 BLOCKED_AB | step 1500/20000 | ETA текущего run 1м 30с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.8% 2/60 | seed=0 BLOCKED_AB | step 2000/20000 | ETA текущего run 1м 31с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.9% 2/60 | seed=0 BLOCKED_AB | step 2500/20000 | ETA текущего run 1м 27с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   1.9% 2/60 | seed=0 BLOCKED_AB | step 3000/20000 | ETA текущего run 1м 26с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.0% 2/60 | seed=0 BLOCKED_AB | step 3500/20000 | ETA текущего run 1м 25с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.0% 2/60 | seed=0 BLOCKED_AB | step 4000/20000 | ETA текущего run 1м 23с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.0% 2/60 | seed=0 BLOCKED_AB | step 4000/20000 | ETA текущего run 1м 23с | checkpoint
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.0% 2/60 | seed=0 BLOCKED_AB | step 4500/20000 | ETA текущего run 1м 21с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.1% 2/60 | seed=0 BLOCKED_AB | step 5000/20000 | ETA текущего run 1м 20с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.1% 2/60 | seed=0 BLOCKED_AB | step 5500/20000 | ETA текущего run 1м 17с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.2% 2/60 | seed=0 BLOCKED_AB | step 6000/20000 | ETA текущего run 1м 15с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.2% 2/60 | seed=0 BLOCKED_AB | step 6500/20000 | ETA текущего run 1м 13с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.3% 2/60 | seed=0 BLOCKED_AB | step 7000/20000 | ETA текущего run 1м 10с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.3% 2/60 | seed=0 BLOCKED_AB | step 7500/20000 | ETA текущего run 1м 07с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.3% 2/60 | seed=0 BLOCKED_AB | step 8000/20000 | ETA текущего run 1м 05с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.4% 2/60 | seed=0 BLOCKED_AB | step 8500/20000 | ETA текущего run 1м 02с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.4% 2/60 | seed=0 BLOCKED_AB | step 9000/20000 | ETA текущего run 1м 00с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.5% 2/60 | seed=0 BLOCKED_AB | step 9500/20000 | ETA текущего run 0м 57с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.5% 2/60 | seed=0 BLOCKED_AB | step 10000/20000 | ETA текущего run 0м 54с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.5% 2/60 | seed=0 BLOCKED_AB | step 10000/20000 | ETA текущего run 0м 54с | checkpoint
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.5% 2/60 | seed=0 BLOCKED_AB | step 10500/20000 | ETA текущего run 0м 52с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.6% 2/60 | seed=0 BLOCKED_AB | step 11000/20000 | ETA текущего run 0м 49с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.6% 2/60 | seed=0 BLOCKED_AB | step 11500/20000 | ETA текущего run 0м 46с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.7% 2/60 | seed=0 BLOCKED_AB | step 12000/20000 | ETA текущего run 0м 43с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.7% 2/60 | seed=0 BLOCKED_AB | step 12500/20000 | ETA текущего run 0м 41с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.8% 2/60 | seed=0 BLOCKED_AB | step 13000/20000 | ETA текущего run 0м 38с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.8% 2/60 | seed=0 BLOCKED_AB | step 13500/20000 | ETA текущего run 0м 35с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.8% 2/60 | seed=0 BLOCKED_AB | step 14000/20000 | ETA текущего run 0м 32с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.9% 2/60 | seed=0 BLOCKED_AB | step 14500/20000 | ETA текущего run 0м 30с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   2.9% 2/60 | seed=0 BLOCKED_AB | step 15000/20000 | ETA текущего run 0м 27с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.0% 2/60 | seed=0 BLOCKED_AB | step 15500/20000 | ETA текущего run 0м 24с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.0% 2/60 | seed=0 BLOCKED_AB | step 16000/20000 | ETA текущего run 0м 22с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.0% 2/60 | seed=0 BLOCKED_AB | step 16500/20000 | ETA текущего run 0м 20с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.1% 2/60 | seed=0 BLOCKED_AB | step 17000/20000 | ETA текущего run 0м 17с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.1% 2/60 | seed=0 BLOCKED_AB | step 17500/20000 | ETA текущего run 0м 15с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.2% 2/60 | seed=0 BLOCKED_AB | step 18000/20000 | ETA текущего run 0м 12с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.2% 2/60 | seed=0 BLOCKED_AB | step 18500/20000 | ETA текущего run 0м 09с | training
ЭТАП 1/2 — обучение ░░░░░░░░░░░░░░░░░░░░░░░░░░░░   3.2% 2/60 | seed=0 BLOCKED_AB | step 19000/20000 | ETA текущего run 0м 06с | training
