seed,condition,step,analysis_label,non_renormalized_label,accuracy_A,accuracy_B,routing_specialization,router_entropy,causal_specialization_renormalized,causal_specialization_non_renormalized
0,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9793400168418884,0.9807400107383728,0.8046659231185913,0.30326424539089203,0.47377997636795044,0.36239999532699585
0,BLOCKED_AB,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9894000291824341,0.9882799983024597,0.8063019514083862,0.3011948987841606,0.47731995582580566,0.36785000562667847
0,BLOCKED_AB,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.5019599795341492,0.9768400192260742,0.02285727858543396,0.6814577579498291,0.031510040163993835,0.042320042848587036
0,BLOCKED_BA,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9795799851417542,0.9806200265884399,0.8232976198196411,0.28874580562114716,0.4577600061893463,0.377920001745224
0,BLOCKED_BA,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9878399968147278,0.9887199997901917,0.8262499570846558,0.2870112210512161,0.4637099802494049,0.37866997718811035
0,BLOCKED_BA,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9735000133514404,0.5026999711990356,0.011435002088546753,0.6833997368812561,0.020580053329467773,0.03447002172470093
0,INTERLEAVED,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9782999753952026,0.9812800288200378,0.5150013566017151,0.5487692952156067,0.32284998893737793,0.2681199908256531
0,INTERLEAVED,20000,PILOT V1 CONFIRMATORY ENDPOINT (RENORMALIZED ONLY),POST-HOC SECONDARY ANALYSIS,0.9881799817085266,0.9891600012779236,0.513237714767456,0.5503414571285248,0.3279799520969391,0.27397000789642334
0,INTERLEAVED,4000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9662799835205078,0.9611200094223022,0.4766945242881775,0.5673943758010864,0.2781299948692322,0.2274099886417389
1,BLOCKED_AB,10000,POST-HOC EXPLORATORY ANALYSIS,POST-HOC SECONDARY ANALYSIS,0.9791600108146667,0.9782000184059143,0.6823290586471558,0.43068429827690125,0.4315299987792969,0.36500999331474304
