pilot_seed,replication_seed,pilot_D_s,replication_D_s,pilot_D_s_renormalized,replication_D_s_renormalized,pilot_D_s_non_renormalized,replication_D_s_non_renormalized,pilot_INTERLEAVED_accuracy_A,replication_INTERLEAVED_accuracy_A,pilot_INTERLEAVED_accuracy_B,replication_INTERLEAVED_accuracy_B,pilot_INTERLEAVED_routing_specialization,replication_INTERLEAVED_routing_specialization,pilot_INTERLEAVED_S_causal_renormalized,replication_INTERLEAVED_S_causal_renormalized,pilot_INTERLEAVED_S_causal_non_renormalized,replication_INTERLEAVED_S_causal_non_renormalized,pilot_BLOCKED_AB_accuracy_A,replication_BLOCKED_AB_accuracy_A,pilot_BLOCKED_AB_accuracy_B,replication_BLOCKED_AB_accuracy_B,pilot_BLOCKED_AB_routing_specialization,replication_BLOCKED_AB_routing_specialization,pilot_BLOCKED_AB_S_causal_renormalized,replication_BLOCKED_AB_S_causal_renormalized,pilot_BLOCKED_AB_S_causal_non_renormalized,replication_BLOCKED_AB_S_causal_non_renormalized,pilot_BLOCKED_BA_accuracy_A,replication_BLOCKED_BA_accuracy_A,pilot_BLOCKED_BA_accuracy_B,replication_BLOCKED_BA_accuracy_B,pilot_BLOCKED_BA_routing_specialization,replication_BLOCKED_BA_routing_specialization,pilot_BLOCKED_BA_S_causal_renormalized,replication_BLOCKED_BA_S_causal_renormalized,pilot_BLOCKED_BA_S_causal_non_renormalized,replication_BLOCKED_BA_S_causal_non_renormalized
0,100,0.1425350159406662,0.05567999184131622,0.1425350159406662,0.05567999184131622,0.09928998351097107,0.0022699683904647827,0.9881799817085266,0.9881600141525269,0.9891600012779236,0.9869800209999084,0.513237714767456,0.6603268384933472,0.3279799520969391,0.3162499964237213,0.27397000789642334,0.3141400218009949,0.9894000291824341,0.9890599846839905,0.9882799983024597,0.9874399900436401,0.8063019514083862,0.4746813178062439,0.47731995582580566,0.26996999979019165,0.36785000562667847,0.24643999338150024,0.9878399968147278,0.9888799786567688,0.9887199997901917,0.9889799952507019,0.8262499570846558,0.7796184420585632,0.4637099802494049,0.4738899767398834,0.37866997718811035,0.38637998700141907
1,101,0.43417002260684967,0.2939399927854538,0.43417002260684967,0.2939399927854538,0.3270299881696701,0.22840000689029694,0.9881200194358826,0.9888799786567688,0.9876000285148621,0.9886400103569031,0.05355510115623474,0.1774389147758484,0.03385999798774719,0.14125999808311462,0.039140015840530396,0.12371000647544861,0.9899600148200989,0.9892399907112122,0.988099992275238,0.9889000058174133,0.6807646751403809,0.8067331910133362,0.4413900077342987,0.48568999767303467,0.37206000089645386,0.3492400050163269,0.9886199831962585,0.9881600141525269,0.9889000058174133,0.9889400005340576,0.8517768383026123,0.5575935244560242,0.494670033454895,0.3847099840641022,0.36028000712394714,0.3549800217151642
2,102,0.2354149967432022,0.25457997620105743,0.2354149967432022,0.25457997620105743,0.17775996029376984,0.2189749926328659,0.9870799779891968,0.9881399869918823,0.9871000051498413,0.9874200224876404,0.2699509859085083,0.10617311298847198,0.15749001502990723,0.10976001620292664,0.1429300308227539,0.08037000894546509,0.9894400238990784,0.9890199899673462,0.9871000051498413,0.9886800050735474,0.36494937539100647,0.26052480936050415,0.28988000750541687,0.2512200176715851,0.27150002121925354,0.24426999688148499,0.9899200201034546,0.9887400269508362,0.9901599884033203,0.9896399974822998,0.7861422300338745,0.7898846864700317,0.495930016040802,0.47745996713638306,0.36987996101379395,0.354420006275177
3,103,0.10519000887870789,0.06044501066207886,0.10519000887870789,0.06044501066207886,0.010930001735687256,0.03049999475479126,0.9877200126647949,0.9891600012779236,0.9887199997901917,0.9892200231552124,0.6556274890899658,0.6777666211128235,0.3768700063228607,0.4217199683189392,0.36452001333236694,0.33103999495506287,0.9896399974822998,0.9901400208473206,0.9881799817085266,0.9891200065612793,0.7803077101707458,0.8157024383544922,0.49480003118515015,0.4718899726867676,0.3668300211429596,0.36191996932029724,0.987559974193573,0.9892799854278564,0.9888399839401245,0.9892600178718567,0.7801730632781982,0.8513823747634888,0.46931999921798706,0.49243998527526855,0.3840700089931488,0.361160010099411
4,104,0.03972500562667847,0.007409974932670593,0.03972500562667847,0.007409974932670593,0.04559999704360962,-0.05800503492355347,0.9887199997901917,0.9875400066375732,0.9879199862480164,0.9888200163841248,0.5630453824996948,0.6371618509292603,0.2889699935913086,0.3230400085449219,0.2786400020122528,0.32221001386642456,0.9885600209236145,0.9890199899673462,0.9864199757575989,0.9890400171279907,0.6494489908218384,0.7197282314300537,0.3677399754524231,0.45702996850013733,0.36847999691963196,0.336249977350235,0.9870399832725525,0.9877200126647949,0.987280011177063,0.9897599816322327,0.5182526707649231,0.3342443108558655,0.289650022983551,0.2038699984550476,0.2800000011920929,0.1921599805355072
5,105,0.1618649959564209,0.1300399899482727,0.1618649959564209,0.1300399899482727,0.08561000227928162,0.05683501064777374,0.9870799779891968,0.9874399900436401,0.9875800013542175,0.9881799817085266,0.6401376724243164,0.6908392906188965,0.29951000213623047,0.3363800048828125,0.2987000048160553,0.33410996198654175,0.9890599846839905,0.9890599846839905,0.9890000224113464,0.9894000291824341,0.6683664321899414,0.8087280988693237,0.4335099756717682,0.4829399883747101,0.38214999437332153,0.3769099712371826,0.9886199831962585,0.987820029258728,0.9892399907112122,0.9899399876594543,0.8185526132583618,0.7064096927642822,0.48924002051353455,0.4499000012874603,0.3864700198173523,0.40497997403144836
6,106,0.3420949727296829,0.10583503544330597,0.3420949727296829,0.10583503544330597,0.26310494542121887,-0.0027899891138076782,0.9861599802970886,0.9883599877357483,0.9889000058174133,0.9887199997901917,0.016560643911361694,0.6915368437767029,0.12968003749847412,0.3769799768924713,0.11270004510879517,0.3578700125217438,0.9887199997901917,0.9887999892234802,0.988099992275238,0.9883999824523926,0.8399090766906738,0.7942901849746704,0.48781999945640564,0.4691600203514099,0.3429200053215027,0.3743800222873688,0.9875400066375732,0.9884399771690369,0.9887400269508362,0.9899799823760986,0.7517365217208862,0.851398229598999,0.45573002099990845,0.49647000432014465,0.4086899757385254,0.3357800245285034
7,107,0.04378001391887665,0.10644501447677612,0.04378001391887665,0.10644501447677612,-0.014274999499320984,0.03637498617172241,0.9887400269508362,0.9876800179481506,0.9874399900436401,0.9887800216674805,0.7316238880157471,0.7230013012886047,0.39594998955726624,0.35329997539520264,0.37703999876976013,0.34804999828338623,0.98853999376297,0.9894599914550781,0.9881200194358826,0.9894999861717224,0.8680458068847656,0.8163094520568848,0.4915600121021271,0.4726099967956543,0.3547600209712982,0.3826899826526642,0.987559974193573,0.9886599779129028,0.987339973449707,0.9896399974822998,0.657989501953125,0.7750194668769836,0.3878999948501587,0.4468799829483032,0.3707699775695801,0.3861599862575531
8,108,0.01208999752998352,0.12995000183582306,0.01208999752998352,0.12995000183582306,0.013784989714622498,0.05904999375343323,0.9892600178718567,0.9877399802207947,0.9883400201797485,0.9877200126647949,0.8012565970420837,0.6929172277450562,0.47391998767852783,0.3324599862098694,0.3367599844932556,0.3297100067138672,0.9891999959945679,0.9893400073051453,0.9880200028419495,0.989359974861145,0.8060356974601746,0.8007108569145203,0.4851699769496918,0.47824999690055847,0.3690699636936188,0.3742699921131134,0.9894400238990784,0.9882599711418152,0.9890000224113464,0.9886199831962585,0.863102912902832,0.7396106123924255,0.48684999346733093,0.4465699791908264,0.33201998472213745,0.4032500088214874
9,109,-0.33591002225875854,0.05355998873710632,-0.33591002225875854,0.05355998873710632,-0.2983050048351288,-0.012450024485588074,0.9882599711418152,0.9888200163841248,0.9880800247192383,0.987559974193573,0.7858225107192993,0.4716067314147949,0.43365001678466797,0.2341499924659729,0.39713001251220703,0.23778003454208374,0.9890000224113464,0.9894999861717224,0.9881399869918823,0.9871199727058411,0.025483325123786926,0.1379004418849945,0.15227001905441284,0.1050499677658081,0.15550002455711365,0.08663001656532288,0.9879199862480164,0.989080011844635,0.9884799718856812,0.989300012588501,0.07372148334980011,0.7855156064033508,0.043209969997406006,0.47036999464035034,0.04214999079704285,0.36403000354766846
