seed,seed_label,interleaved_causal,blocked_mean_causal,causal_difference,interleaved_balanced_accuracy,blocked_balanced_accuracy,accuracy_difference
0,0,0.3279799520969391,0.4705149680376053,0.1425350159406662,0.9886699914932251,0.9885600060224533,-0.00010998547077178955
1,1,0.03385999798774719,0.46803002059459686,0.43417002260684967,0.9878600239753723,0.9888949990272522,0.0010349750518798828
2,2,0.15749001502990723,0.39290501177310944,0.2354149967432022,0.987089991569519,0.9891550093889236,0.002065017819404602
3,3,0.3768700063228607,0.4820600152015686,0.10519000887870789,0.9882200062274933,0.988554984331131,0.0003349781036376953
4,4,0.2889699935913086,0.32869499921798706,0.03972500562667847,0.988319993019104,0.9873249977827072,-0.0009949952363967896
5,5,0.29951000213623047,0.46137499809265137,0.1618649959564209,0.9873299896717072,0.9889799952507019,0.001650005578994751
6,6,0.12968003749847412,0.47177501022815704,0.3420949727296829,0.987529993057251,0.9882750064134598,0.0007450133562088013
7,7,0.39594998955726624,0.4397300034761429,0.04378001391887665,0.9880900084972382,0.9878899902105331,-0.0002000182867050171
8,8,0.47391998767852783,0.48600998520851135,0.01208999752998352,0.9888000190258026,0.9889150112867355,0.00011499226093292236
9,9,0.43365001678466797,0.09773999452590942,-0.33591002225875854,0.9881699979305267,0.9883849918842316,0.00021499395370483398
10,10,0.3105199933052063,0.2654249966144562,-0.04509499669075012,0.9878999888896942,0.9887399971485138,0.0008400082588195801
11,11,0.039110004901885986,0.46921998262405396,0.43010997772216797,0.988099992275238,0.9889199882745743,0.0008199959993362427
12,12,0.09245002269744873,0.47372499108314514,0.3812749683856964,0.9886600077152252,0.9893050044775009,0.0006449967622756958
13,13,0.12231998145580292,0.4092649966478348,0.28694501519203186,0.9881999790668488,0.9883600026369095,0.00016002357006072998
14,14,0.35850998759269714,0.332179993391037,-0.026329994201660156,0.9882199764251709,0.9886050075292587,0.0003850311040878296
15,15,0.19291001558303833,0.4551749974489212,0.2622649818658829,0.9878199994564056,0.9885300099849701,0.0007100105285644531
16,16,0.06759998202323914,0.29673999547958374,0.2291400134563446,0.9881699979305267,0.988319993019104,0.0001499950885772705
17,17,0.3803099989891052,0.29548998177051544,-0.08482001721858978,0.9877800047397614,0.9877550005912781,-2.5004148483276367e-05
18,18,0.10324999690055847,0.34112997353076935,0.23787997663021088,0.9883099794387817,0.988214984536171,-9.499490261077881e-05
19,19,0.35728999972343445,0.48198501765727997,0.12469501793384552,0.986840009689331,0.9883949905633926,0.0015549808740615845
